behaviour,type,ratio
trained,GFP neg,3.7
trained,D2 GFP,4.41
trained,GFP neg,7.08
trained,GFP neg,4.81
yoked,D2 GFP,3.87
yoked,D2 GFP,3.26
trained,D2 GFP,3.92
trained,GFP neg,5.86
yoked,D2 GFP,3.57
yoked,GFP neg,2.75
yoked,D2 GFP,2.9
yoked,GFP neg,6.47
yoked,D2 GFP,2.72
yoked,D2 GFP,4.71
yoked,GFP neg,3.55
yoked,D2 GFP,2.47
yoked,D2 GFP,3.03
trained,D2 GFP,2.74
trained,GFP neg,4.99
trained,D2 GFP,5.68
trained,GFP neg,3.72
trained,D2 GFP,1.64
trained,D2 GFP,2.6
trained,D2 GFP,2.73
trained,D2 GFP,3.26
trained,GFP neg,4.7
yoked,D2 GFP,3.29
yoked,D2 GFP,2.7
yoked,GFP neg,3.58
yoked,D2 GFP,3.39
trained,GFP neg,3.37
trained,D2 GFP,1.58
trained,D2 GFP,2.42
yoked,GFP neg,2
yoked,GFP neg,2.9
yoked,GFP neg,3.58
yoked,GFP neg,1.87
trained,D2 GFP,8.28
trained,GFP neg,8.15
trained,GFP neg,3.06
trained,D2 GFP,2.37
yoked,D2 GFP,2.73
yoked,GFP neg,3.09
yoked,GFP neg,2.95
yoked,GFP neg,3.12
yoked,D2 GFP,2.51
yoked,GFP neg,2.2
yoked,D2 GFP,11.21
yoked,GFP neg,2.64
trained,GFP neg,2.22
trained,GFP neg,5.82
trained,GFP neg,2.01
trained,D2 GFP,2.42
trained,D2 GFP,4.14
yoked,GFP neg,2.08
yoked,D2 GFP,2.02
yoked,GFP neg,2.46
yoked,D2 GFP,2.64
yoked,GFP neg,2.2
trained,GFP neg,15.83
trained,D2 GFP,2.81
trained,GFP neg,15.86
trained,GFP neg,10.69
trained,D2 GFP,5.25
trained,GFP neg,3.07
trained,D2 GFP,3.13
trained,D2 GFP,3.83
trained,D2 GFP,1.79
trained,GFP neg,2.48
trained,GFP neg,1.29
trained,D2 GFP,3.23